Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00234963,0.00175506,475.829,1000,Non-AEAD,block
AES-256-CBC,4096,0.00951387,0.00341049,604.478,1000,Non-AEAD,block
AES-256-CBC,16384,0.0168623,0.00551354,1396.59,1000,Non-AEAD,block
AES-256-CBC,262144,0.489888,0.0641123,902.526,1000,Non-AEAD,block
AES-256-CBC,1048576,2.00606,0.248939,886.919,1000,Non-AEAD,block
AES-256-CBC,8388608,14.2462,3.28775,912.515,1000,Non-AEAD,block
AES-256-CTR,1024,0.00158607,0.00160574,611.918,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00205166,0.00201308,1922.02,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00472099,0.00469957,3317.21,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0589427,0.0587412,4248.67,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.232238,0.232306,4305.29,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.48393,2.52203,3196.19,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00206841,0.0023604,441.005,1000,AEAD,block
AES-256-GCM,4096,0.00263697,0.00295986,1395.88,1000,AEAD,block
AES-256-GCM,16384,0.00882832,0.00873122,1779.66,1000,AEAD,block
AES-256-GCM,262144,0.103727,0.0972169,2488.26,1000,AEAD,block
AES-256-GCM,1048576,0.402987,0.356877,2632.05,1000,AEAD,block
AES-256-GCM,8388608,9.86531,3.76569,1173.8,1000,AEAD,block
AES-256-CCM,1024,0.00221861,0.00258906,406.252,1000,AEAD,block
AES-256-CCM,4096,0.00540923,0.00556302,712.024,1000,AEAD,block
AES-256-CCM,16384,0.017546,0.0176303,888.381,1000,AEAD,block
AES-256-CCM,262144,0.269843,0.265187,934.528,1000,AEAD,block
AES-256-CCM,1048576,1.09267,1.05058,933.163,1000,AEAD,block
AES-256-CCM,8388608,16.1425,9.66407,619.997,1000,AEAD,block
