Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00232467,0.00168505,487.097,1000,Non-AEAD,block
AES-256-CBC,4096,0.00504957,0.0029176,980.587,1000,Non-AEAD,block
AES-256-CBC,16384,0.0148696,0.00486956,1583.15,1000,Non-AEAD,block
AES-256-CBC,262144,0.449937,0.0581642,984.055,1000,Non-AEAD,block
AES-256-CBC,1048576,2.01102,0.253595,883.154,1000,Non-AEAD,block
AES-256-CBC,8388608,14.8969,3.50531,869.463,1000,Non-AEAD,block
AES-256-CTR,1024,0.001572,0.00159519,616.674,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00199963,0.00207947,1915.25,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00472065,0.00491501,3243.16,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0558125,0.055947,4473.89,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.252398,0.250676,3975.56,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.70123,2.68653,2969.7,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00178097,0.00201217,514.909,1000,AEAD,block
AES-256-GCM,4096,0.00251376,0.00285736,1454.54,1000,AEAD,block
AES-256-GCM,16384,0.00725609,0.00740824,2131.02,1000,AEAD,block
AES-256-GCM,262144,0.0848501,0.0798901,3035.08,1000,AEAD,block
AES-256-GCM,1048576,0.383507,0.33803,2771.86,1000,AEAD,block
AES-256-GCM,8388608,10.465,4.01821,1104.73,1000,AEAD,block
AES-256-CCM,1024,0.003519,0.00412604,255.476,1000,AEAD,block
AES-256-CCM,4096,0.00542991,0.00586257,691.833,1000,AEAD,block
AES-256-CCM,16384,0.0177868,0.0177167,880.196,1000,AEAD,block
AES-256-CCM,262144,0.270241,0.26339,936.977,1000,AEAD,block
AES-256-CCM,1048576,1.10087,1.05464,927.856,1000,AEAD,block
AES-256-CCM,8388608,15.8109,9.38623,634.992,1000,AEAD,block
