Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00236967,0.00177452,471.292,1000,Non-AEAD,block
AES-256-CBC,4096,0.00556044,0.0020938,1020.68,1000,Non-AEAD,block
AES-256-CBC,16384,0.0149983,0.00493687,1567.58,1000,Non-AEAD,block
AES-256-CBC,262144,0.447379,0.0582464,988.874,1000,Non-AEAD,block
AES-256-CBC,1048576,1.98382,0.242194,898.469,1000,Non-AEAD,block
AES-256-CBC,8388608,14.0639,3.13619,930.228,1000,Non-AEAD,block
AES-256-CTR,1024,0.00164052,0.00164004,595.365,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00210122,0.00215717,1834.61,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00495826,0.00494671,3154.98,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0596656,0.0601704,4172.37,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.23794,0.242762,4160.58,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.43393,2.48592,3252.13,1000,Non-AEAD,stream
AES-256-GCM,1024,0.0018702,0.0021194,489.555,1000,AEAD,block
AES-256-GCM,4096,0.00258735,0.00295696,1409.1,1000,AEAD,block
AES-256-GCM,16384,0.00716257,0.00731863,2157.97,1000,AEAD,block
AES-256-GCM,262144,0.0946,0.0885289,2730.32,1000,AEAD,block
AES-256-GCM,1048576,0.39919,0.35179,2663.19,1000,AEAD,block
AES-256-GCM,8388608,10.1235,3.80214,1148.96,1000,AEAD,block
AES-256-CCM,1024,0.00218403,0.00248428,418.379,1000,AEAD,block
AES-256-CCM,4096,0.00511494,0.00535342,746.296,1000,AEAD,block
AES-256-CCM,16384,0.0184119,0.0196216,821.644,1000,AEAD,block
AES-256-CCM,262144,0.263191,0.252866,968.885,1000,AEAD,block
AES-256-CCM,1048576,1.13072,1.08318,903.385,1000,AEAD,block
AES-256-CCM,8388608,15.2425,9.13619,656.312,1000,AEAD,block
