Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00252812,0.00182414,448.761,1000,Non-AEAD,block
AES-256-CBC,4096,0.00502941,0.00274845,1004.45,1000,Non-AEAD,block
AES-256-CBC,16384,0.0161782,0.00579866,1421.95,1000,Non-AEAD,block
AES-256-CBC,262144,0.494687,0.0635169,895.73,1000,Non-AEAD,block
AES-256-CBC,1048576,1.99513,0.247547,891.791,1000,Non-AEAD,block
AES-256-CBC,8388608,14.0461,3.11454,932.367,1000,Non-AEAD,block
AES-256-CTR,1024,0.00163251,0.00166627,592.076,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00217562,0.00217331,1796.42,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00502806,0.00495221,3131.18,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0601,0.0604711,4146.93,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.257403,0.25476,3905,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.51146,2.54265,3165.74,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00181276,0.00209923,499.267,1000,AEAD,block
AES-256-GCM,4096,0.00259676,0.00286503,1430.39,1000,AEAD,block
AES-256-GCM,16384,0.00717516,0.0071279,2184.85,1000,AEAD,block
AES-256-GCM,262144,0.090892,0.0860327,2826.06,1000,AEAD,block
AES-256-GCM,1048576,0.382115,0.339716,2770.73,1000,AEAD,block
AES-256-GCM,8388608,9.91611,3.76624,1169.39,1000,AEAD,block
AES-256-CCM,1024,0.00228104,0.00267083,394.421,1000,AEAD,block
AES-256-CCM,4096,0.00547005,0.0058509,690.093,1000,AEAD,block
AES-256-CCM,16384,0.0181917,0.0182056,858.581,1000,AEAD,block
AES-256-CCM,262144,0.264475,0.260068,953.21,1000,AEAD,block
AES-256-CCM,1048576,1.11147,1.06244,920,1000,AEAD,block
AES-256-CCM,8388608,15.4743,9.29832,645.873,1000,AEAD,block
