Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00240641,0.0016167,485.476,1000,Non-AEAD,block
AES-256-CBC,4096,0.0057956,0.00239098,954.306,1000,Non-AEAD,block
AES-256-CBC,16384,0.0170948,0.00513333,1405.88,1000,Non-AEAD,block
AES-256-CBC,262144,0.486505,0.0619146,911.711,1000,Non-AEAD,block
AES-256-CBC,1048576,2.15049,0.272762,825.338,1000,Non-AEAD,block
AES-256-CBC,8388608,13.546,2.88506,973.767,1000,Non-AEAD,block
AES-256-CTR,1024,0.00268106,0.00281979,355.059,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00344564,0.00304162,1204.28,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00456573,0.00459831,3410.07,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0611592,0.0661874,3926.29,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.223734,0.223893,4468.01,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.41774,2.46057,3279.82,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00182759,0.00214365,491.818,1000,AEAD,block
AES-256-GCM,4096,0.0025379,0.00283814,1453.21,1000,AEAD,block
AES-256-GCM,16384,0.00703319,0.00702479,2222.94,1000,AEAD,block
AES-256-GCM,262144,0.0929693,0.0880258,2762.51,1000,AEAD,block
AES-256-GCM,1048576,0.383798,0.342443,2753.91,1000,AEAD,block
AES-256-GCM,8388608,9.36039,3.50982,1243.18,1000,AEAD,block
AES-256-CCM,1024,0.00215359,0.00255688,414.634,1000,AEAD,block
AES-256-CCM,4096,0.00499027,0.00537868,753.452,1000,AEAD,block
AES-256-CCM,16384,0.0173497,0.0172885,902.184,1000,AEAD,block
AES-256-CCM,262144,0.258742,0.251434,980.052,1000,AEAD,block
AES-256-CCM,1048576,1.09066,1.04626,935.927,1000,AEAD,block
AES-256-CCM,8388608,15.4738,9.44797,642.01,1000,AEAD,block
