Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00222374,0.0016214,507.947,1000,Non-AEAD,block
AES-256-CBC,4096,0.00738858,0.0021392,819.971,1000,Non-AEAD,block
AES-256-CBC,16384,0.0160513,0.00520139,1470.4,1000,Non-AEAD,block
AES-256-CBC,262144,0.461989,0.0591747,959.391,1000,Non-AEAD,block
AES-256-CBC,1048576,2.01968,0.252926,880.048,1000,Non-AEAD,block
AES-256-CBC,8388608,14.0987,3.21614,924.062,1000,Non-AEAD,block
AES-256-CTR,1024,0.00160507,0.00163135,603.484,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00210036,0.00216744,1830.57,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00507781,0.00514102,3058.08,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0611287,0.0614459,4079.15,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.257032,0.260967,3861.01,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.40759,2.42933,3307.89,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00177097,0.00205286,510.778,1000,AEAD,block
AES-256-GCM,4096,0.00250611,0.00283927,1461.54,1000,AEAD,block
AES-256-GCM,16384,0.00692818,0.00698113,2246.7,1000,AEAD,block
AES-256-GCM,262144,0.0936444,0.0868733,2769.81,1000,AEAD,block
AES-256-GCM,1048576,0.398771,0.351628,2665.25,1000,AEAD,block
AES-256-GCM,8388608,9.74065,3.67766,1192.4,1000,AEAD,block
AES-256-CCM,1024,0.00221016,0.00253635,411.487,1000,AEAD,block
AES-256-CCM,4096,0.00492975,0.00527376,765.668,1000,AEAD,block
AES-256-CCM,16384,0.0180773,0.0171046,888.24,1000,AEAD,block
AES-256-CCM,262144,0.254223,0.249405,992.796,1000,AEAD,block
AES-256-CCM,1048576,1.1053,1.06311,922.333,1000,AEAD,block
AES-256-CCM,8388608,15.8142,9.46161,633.016,1000,AEAD,block
