Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.0026151,0.00191618,431.032,1000,Non-AEAD,block
AES-256-CBC,4096,0.00784362,0.00580211,572.524,1000,Non-AEAD,block
AES-256-CBC,16384,0.0184565,0.00717751,1219.08,1000,Non-AEAD,block
AES-256-CBC,262144,0.47642,0.0611543,930.104,1000,Non-AEAD,block
AES-256-CBC,1048576,2.00508,0.249874,886.936,1000,Non-AEAD,block
AES-256-CBC,8388608,14.4943,3.31648,898.334,1000,Non-AEAD,block
AES-256-CTR,1024,0.00163799,0.00172022,581.597,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00231368,0.00235834,1672.19,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00595347,0.00593366,2628.89,1000,Non-AEAD,stream
AES-256-CTR,262144,0.065251,0.0659916,3809.74,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.255836,0.256778,3901.57,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.51315,2.53709,3168.16,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00183695,0.00211433,494.302,1000,AEAD,block
AES-256-GCM,4096,0.00264392,0.00292101,1403.88,1000,AEAD,block
AES-256-GCM,16384,0.00719253,0.00731538,2154,1000,AEAD,block
AES-256-GCM,262144,0.0938115,0.0881285,2748.16,1000,AEAD,block
AES-256-GCM,1048576,0.403917,0.357789,2625.68,1000,AEAD,block
AES-256-GCM,8388608,10.2086,3.88649,1135.15,1000,AEAD,block
AES-256-CCM,1024,0.00216752,0.00248566,419.74,1000,AEAD,block
AES-256-CCM,4096,0.00525683,0.00561753,718.433,1000,AEAD,block
AES-256-CCM,16384,0.0183633,0.0183273,851.717,1000,AEAD,block
AES-256-CCM,262144,0.274932,0.268649,919.825,1000,AEAD,block
AES-256-CCM,1048576,1.11528,1.06786,916.109,1000,AEAD,block
AES-256-CCM,8388608,16.2842,9.7028,615.693,1000,AEAD,block
