Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00238912,0.0016808,479.892,1000,Non-AEAD,block
AES-256-CBC,4096,0.00486481,0.00363131,919.537,1000,Non-AEAD,block
AES-256-CBC,16384,0.0160083,0.00588396,1427.45,1000,Non-AEAD,block
AES-256-CBC,262144,0.51736,0.0708419,850.049,1000,Non-AEAD,block
AES-256-CBC,1048576,2.06439,0.267176,857.791,1000,Non-AEAD,block
AES-256-CBC,8388608,14.3834,3.30048,904.78,1000,Non-AEAD,block
AES-256-CTR,1024,0.00161697,0.00159184,608.677,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00205976,0.00210336,1876.6,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00496783,0.00496981,3144.61,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0589316,0.0591747,4233.47,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.249351,0.250991,3997.26,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.53075,2.56312,3141.03,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00180031,0.00207947,503.411,1000,AEAD,block
AES-256-GCM,4096,0.00261727,0.00285633,1427.31,1000,AEAD,block
AES-256-GCM,16384,0.0070053,0.00706429,2221.1,1000,AEAD,block
AES-256-GCM,262144,0.0871709,0.0847816,2907.78,1000,AEAD,block
AES-256-GCM,1048576,0.37504,0.334175,2820.02,1000,AEAD,block
AES-256-GCM,8388608,10.0091,3.8301,1156.14,1000,AEAD,block
AES-256-CCM,1024,0.00221386,0.00253385,411.382,1000,AEAD,block
AES-256-CCM,4096,0.00508433,0.00539911,745.223,1000,AEAD,block
AES-256-CCM,16384,0.0175127,0.0176296,889.242,1000,AEAD,block
AES-256-CCM,262144,0.266398,0.261476,947.197,1000,AEAD,block
AES-256-CCM,1048576,1.10642,1.0614,922.588,1000,AEAD,block
AES-256-CCM,8388608,15.7687,9.45066,634.434,1000,AEAD,block
