Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00224505,0.00171101,493.705,1000,Non-AEAD,block
AES-256-CBC,4096,0.00517152,0.00213716,1068.93,1000,Non-AEAD,block
AES-256-CBC,16384,0.0162049,0.0048854,1481.72,1000,Non-AEAD,block
AES-256-CBC,262144,0.440831,0.0564449,1005.48,1000,Non-AEAD,block
AES-256-CBC,1048576,1.91643,0.233925,930.079,1000,Non-AEAD,block
AES-256-CBC,8388608,14.0644,3.22848,925.237,1000,Non-AEAD,block
AES-256-CTR,1024,0.00150261,0.00151984,646.206,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00194345,0.001989,1986.67,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00461334,0.00454346,3412.76,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0535919,0.0572761,4509.87,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.24349,0.245019,4094.09,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.39333,2.43661,3312.67,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00174754,0.00199567,521.777,1000,AEAD,block
AES-256-GCM,4096,0.00248382,0.00276771,1487.66,1000,AEAD,block
AES-256-GCM,16384,0.0070869,0.00699889,2218.55,1000,AEAD,block
AES-256-GCM,262144,0.0886641,0.0839922,2895.93,1000,AEAD,block
AES-256-GCM,1048576,0.37588,0.335923,2809.77,1000,AEAD,block
AES-256-GCM,8388608,9.33484,3.51253,1245.39,1000,AEAD,block
AES-256-CCM,1024,0.00217913,0.00257019,411.243,1000,AEAD,block
AES-256-CCM,4096,0.00505247,0.00527714,756.32,1000,AEAD,block
AES-256-CCM,16384,0.0170317,0.017213,912.55,1000,AEAD,block
AES-256-CCM,262144,0.258158,0.253716,976.801,1000,AEAD,block
AES-256-CCM,1048576,1.05284,1.00829,970.344,1000,AEAD,block
AES-256-CCM,8388608,15.4822,9.2975,645.689,1000,AEAD,block
