Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.002273,0.00158654,506.051,1000,Non-AEAD,block
AES-256-CBC,4096,0.00453344,0.00204834,1186.99,1000,Non-AEAD,block
AES-256-CBC,16384,0.0145046,0.00471824,1625.67,1000,Non-AEAD,block
AES-256-CBC,262144,0.455293,0.0576383,974.789,1000,Non-AEAD,block
AES-256-CBC,1048576,1.99333,0.251605,890.894,1000,Non-AEAD,block
AES-256-CBC,8388608,14.0552,3.1616,929.324,1000,Non-AEAD,block
AES-256-CTR,1024,0.00157882,0.00159259,615.855,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00204633,0.00210197,1883.3,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00473624,0.00473486,3299.51,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0557617,0.0561791,4466.65,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.230787,0.233168,4310.76,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.40571,2.44074,3301.38,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00181156,0.00205515,505.113,1000,AEAD,block
AES-256-GCM,4096,0.00255967,0.00283493,1448.21,1000,AEAD,block
AES-256-GCM,16384,0.00704005,0.00709857,2210.26,1000,AEAD,block
AES-256-GCM,262144,0.0904118,0.0843968,2860.27,1000,AEAD,block
AES-256-GCM,1048576,0.369526,0.328702,2864.4,1000,AEAD,block
AES-256-GCM,8388608,9.71302,3.63578,1198.61,1000,AEAD,block
AES-256-CCM,1024,0.00226634,0.00265614,396.777,1000,AEAD,block
AES-256-CCM,4096,0.00530611,0.00557819,717.777,1000,AEAD,block
AES-256-CCM,16384,0.0180139,0.0180084,867.517,1000,AEAD,block
AES-256-CCM,262144,0.268405,0.261614,943.362,1000,AEAD,block
AES-256-CCM,1048576,1.08979,1.04658,936.169,1000,AEAD,block
AES-256-CCM,8388608,15.5916,9.25644,643.914,1000,AEAD,block
