Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00222181,0.00167044,501.799,1000,Non-AEAD,block
AES-256-CBC,4096,0.00459872,0.00208288,1169.26,1000,Non-AEAD,block
AES-256-CBC,16384,0.0155189,0.00581894,1464.54,1000,Non-AEAD,block
AES-256-CBC,262144,0.448292,0.0582375,987.109,1000,Non-AEAD,block
AES-256-CBC,1048576,2.04633,0.265643,865.061,1000,Non-AEAD,block
AES-256-CBC,8388608,14.2044,3.18819,919.932,1000,Non-AEAD,block
AES-256-CTR,1024,0.00152833,0.00149684,645.625,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00201033,0.00212023,1891.39,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00482638,0.0048831,3218.5,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0573154,0.0575029,4354.7,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.245509,0.247989,4052.7,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.412,2.49744,3259.03,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00184665,0.00202328,504.693,1000,AEAD,block
AES-256-GCM,4096,0.00255318,0.00292212,1426.86,1000,AEAD,block
AES-256-GCM,16384,0.00703798,0.00706805,2215.36,1000,AEAD,block
AES-256-GCM,262144,0.0904396,0.0858217,2836.7,1000,AEAD,block
AES-256-GCM,1048576,0.39664,0.351197,2674.38,1000,AEAD,block
AES-256-GCM,8388608,10.2525,3.91674,1129.21,1000,AEAD,block
AES-256-CCM,1024,0.00263428,0.00307969,341.816,1000,AEAD,block
AES-256-CCM,4096,0.00597758,0.00641263,630.538,1000,AEAD,block
AES-256-CCM,16384,0.0197343,0.0198606,789.243,1000,AEAD,block
AES-256-CCM,262144,0.275515,0.266029,923.287,1000,AEAD,block
AES-256-CCM,1048576,1.08079,1.05247,937.534,1000,AEAD,block
AES-256-CCM,8388608,15.4036,9.39571,645.18,1000,AEAD,block
