Mode,DataSizeBytes,EncryptTimeMS,DecryptTimeMS,ThroughputMBps,Iterations,IsAEAD,ModeType
AES-256-CBC,1024,0.00240532,0.00188732,454.995,1000,Non-AEAD,block
AES-256-CBC,4096,0.00618974,0.00447332,732.669,1000,Non-AEAD,block
AES-256-CBC,16384,0.0157312,0.00518073,1494.36,1000,Non-AEAD,block
AES-256-CBC,262144,0.474251,0.0606634,934.73,1000,Non-AEAD,block
AES-256-CBC,1048576,1.99264,0.247244,892.904,1000,Non-AEAD,block
AES-256-CBC,8388608,14.006,3.05069,938.047,1000,Non-AEAD,block
AES-256-CTR,1024,0.0015926,0.0016077,610.294,1000,Non-AEAD,stream
AES-256-CTR,4096,0.00199419,0.00199434,1958.74,1000,Non-AEAD,stream
AES-256-CTR,16384,0.00456925,0.00458973,3411.95,1000,Non-AEAD,stream
AES-256-CTR,262144,0.0538199,0.0542956,4624.68,1000,Non-AEAD,stream
AES-256-CTR,1048576,0.225026,0.226822,4426.27,1000,Non-AEAD,stream
AES-256-CTR,8388608,2.3701,2.40685,3349.42,1000,Non-AEAD,stream
AES-256-GCM,1024,0.00187414,0.00213979,486.587,1000,AEAD,block
AES-256-GCM,4096,0.00261663,0.00293012,1408.48,1000,AEAD,block
AES-256-GCM,16384,0.00693065,0.00695002,2251.33,1000,AEAD,block
AES-256-GCM,262144,0.0893341,0.0841439,2882.21,1000,AEAD,block
AES-256-GCM,1048576,0.401286,0.349032,2665.54,1000,AEAD,block
AES-256-GCM,8388608,9.88639,3.71919,1175.99,1000,AEAD,block
AES-256-CCM,1024,0.00244056,0.00277532,374.457,1000,AEAD,block
AES-256-CCM,4096,0.00559694,0.0058822,680.582,1000,AEAD,block
AES-256-CCM,16384,0.0188256,0.0187491,831.676,1000,AEAD,block
AES-256-CCM,262144,0.28188,0.273584,900.147,1000,AEAD,block
AES-256-CCM,1048576,1.12309,1.08163,907.144,1000,AEAD,block
AES-256-CCM,8388608,15.4666,9.30497,645.903,1000,AEAD,block
